title,source,sentence,normalized_text,sentence_list,candidate_block
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Finally, how should other sources of heterogeneity like lifestyle, diet, and medication usage be incorporated into rational donor selection?","finally, how should other sources of heterogeneity like lifestyle, diet, and medication usage be incorporated into rational donor selection?","['finally, how should other sources of heterogeneity like lifestyle, diet, and medication usage be incorporated into rational donor selection?']","finally, how should other sources of heterogeneity like lifestyle, diet, and medication usage be incorporated into rational donor selection?"
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"In cases where FMT is combined with other microbiome-targeted interventions like prebiotics or dietary changes, could some donors have synergistic effects with these paired interventions and lead to greater clinical success?","in cases where fmt is combined with other microbiome-targeted interventions like prebiotics or dietary changes, could some donors have synergistic effects with these paired interventions and lead to greater clinical success?","['in cases where fmt is combined with other microbiome-targeted interventions like prebiotics or dietary changes, could some donors have synergistic effects with these paired interventions and lead to greater clinical success?']","in cases where fmt is combined with other microbiome-targeted interventions like prebiotics or dietary changes, could some donors have synergistic effects with these paired interventions and lead to greater clinical success?"
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"To ensure that FMT reaches its full potential to improve and save patient lives, clinicians should think critically about how their FMT trials can be designed for maximal impact.","to ensure that fmt reaches its full potential to improve and save patient lives, clinicians should think critically about how their fmt trials can be designed for maximal impact.","['to ensure that fmt reaches its full potential to improve and save patient lives, clinicians should think critically about how their fmt trials can be designed for maximal impact.']","to ensure that fmt reaches its full potential to improve and save patient lives, clinicians should think critically about how their fmt trials can be designed for maximal impact."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Applying new approaches like rational donor selection will decrease the number of false negative clinical trials which fail even though they could have succeeded with a more optimal donor.,applying new approaches like rational donor selection will decrease the number of false negative clinical trials which fail even though they could have succeeded with a more optimal donor.,['applying new approaches like rational donor selection will decrease the number of false negative clinical trials which fail even though they could have succeeded with a more optimal donor.'],applying new approaches like rational donor selection will decrease the number of false negative clinical trials which fail even though they could have succeeded with a more optimal donor.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"As FMT expands beyond rCDI and microbiome-based therapeutics are developed to target a range of diseases, novel methods and approaches tailored to the unique challenges and opportunities presented by FMT will be critical to ensuring the advancement of translational microbiome science and beneficial impact on patient lives.","as fmt expands beyond rcdi and microbiome-based therapeutics are developed to target a range of diseases, novel methods and approaches tailored to the unique challenges and opportunities presented by fmt will be critical to ensuring the advancement of translational microbiome science and beneficial impact on patient lives.","['as fmt expands beyond rcdi and microbiome-based therapeutics are developed to target a range of diseases, novel methods and approaches tailored to the unique challenges and opportunities presented by fmt will be critical to ensuring the advancement of translational microbiome science and beneficial impact on patient lives.']","as fmt expands beyond rcdi and microbiome-based therapeutics are developed to target a range of diseases, novel methods and approaches tailored to the unique challenges and opportunities presented by fmt will be critical to ensuring the advancement of translational microbiome science and beneficial impact on patient lives."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Methods Microbiome data processing Raw fastq data files were downloaded from the European Nucleotide Archive using the following accession numbers: Jacob et al 2017, PRJNA388210; Goyal et al.","methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al.","['methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al.']","methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2018, PRJNA380944; and Kump et al.","2018, prjna380944; and kump et al.","['2018, prjna380944; and kump et al.']","2018, prjna380944; and kump et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"All data was processed using QIIME 2 (v. 2018.6.0, Bolyen et al.","all data was processed using qiime 2 (v. 2018.6.0, bolyen et al.","['all data was processed using qiime 2 (v.', '2018.6.0, bolyen et al.']","all data was processed using qiime 2 (v. 2018.6.0, bolyen et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Briefly, data was imported into QIIME 2 as paired-end ( Kump et al.","briefly, data was imported into qiime 2 as paired-end ( kump et al.","['briefly, data was imported into qiime 2 as paired-end ( kump et al.']","briefly, data was imported into qiime 2 as paired-end ( kump et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,2018 ; Jacob et al.,2018 ; jacob et al.,['2018 ; jacob et al.'],2018 ; jacob et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,2017 ) or single-end ( Goyal et al.,2017 ) or single-end ( goyal et al.,['2017 ) or single-end ( goyal et al.'],2017 ) or single-end ( goyal et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16S’ ( Amir et al.","2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al.","['2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al.']","2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the GreenGenes-trained Naive Bayes classifier provided by QIIME 2 (gg-13-8-99-nb-classifier.qza) ( Bokulich et al.,representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.,['representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.'],representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,All data was exported to tab-delimited format and analyzed in Python 2.7.6.,all data was exported to tab-delimited format and analyzed in python 2.7.6.,['all data was exported to tab-delimited format and analyzed in python 2.7.6.'],all data was exported to tab-delimited format and analyzed in python 2.7.6.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Quantifying abundance of butyrate producers We identified butyrate producers at the genus-level based on the analysis performed in Vital et al.,quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.,['quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.'],quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,These taxa were detected in >70% of individuals in Vital et al.,these taxa were detected in >70% of individuals in vital et al.,['these taxa were detected in >70% of individuals in vital et al.'],these taxa were detected in >70% of individuals in vital et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.","2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.","['2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.']","2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We removed E. ventriosum, E. hallii , and E. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","we removed e. ventriosum, e. hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","['we removed e.', 'ventriosum, e.', 'hallii , and e.', 'rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.']","we removed e. ventriosum, e."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We removed E. ventriosum, E. hallii , and E. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","we removed e. ventriosum, e. hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","['we removed e.', 'ventriosum, e.', 'hallii , and e.', 'rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.']","hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Stool metabolomics Metabolomics data was generated as described in Poyet, Groussin, Gibbons et al.","stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al.","['stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al.']","stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,(in preparation) and downloaded after personal communication with the authors.,(in preparation) and downloaded after personal communication with the authors.,['(in preparation) and downloaded after personal communication with the authors.'],(in preparation) and downloaded after personal communication with the authors.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"For donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.","for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.","['for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.']","for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We identified three short chain fatty acids (SCFAs) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.","we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.","['we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.']","we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Lithocholate abundances were available for both C-18 negative and HILIC negative modes; we considered only the C-18 negative data to match the other bile acids.,lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.,['lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.'],lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Bile acid conversion rates were calculated as in Kakiyama et al.,bile acid conversion rates were calculated as in kakiyama et al.,['bile acid conversion rates were calculated as in kakiyama et al.'],bile acid conversion rates were calculated as in kakiyama et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Donors were ranked based on their average SCFA abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).,donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).,['donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).'],donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Power simulation We performed a simulation to determine the power of FMT trials to retrospectively find associations between donor bacterial abundances and FMT response.,power simulation we performed a simulation to determine the power of fmt trials to retrospectively find associations between donor bacterial abundances and fmt response.,['power simulation we performed a simulation to determine the power of fmt trials to retrospectively find associations between donor bacterial abundances and fmt response.'],power simulation we performed a simulation to determine the power of fmt trials to retrospectively find associations between donor bacterial abundances and fmt response.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We used case-control gut microbiome datasets from MicrobiomeHD ( Duvallet et al.,we used case-control gut microbiome datasets from microbiomehd ( duvallet et al.,['we used case-control gut microbiome datasets from microbiomehd ( duvallet et al.'],we used case-control gut microbiome datasets from microbiomehd ( duvallet et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,2017 ) to model different effect sizes for FMT response.,2017 ) to model different effect sizes for fmt response.,['2017 ) to model different effect sizes for fmt response.'],2017 ) to model different effect sizes for fmt response.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Here, we use “effect size” to mean the number of genera which are differentially abundant between patients who respond to FMT vs. patients who do not.","here, we use “effect size” to mean the number of genera which are differentially abundant between patients who respond to fmt vs. patients who do not.","['here, we use “effect size” to mean the number of genera which are differentially abundant between patients who respond to fmt vs.', 'patients who do not.']","here, we use “effect size” to mean the number of genera which are differentially abundant between patients who respond to fmt vs. patients who do not."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Per the results in MicrobiomeHD, we used infectious diarrhea to model a large effect ( Schubert et al.","per the results in microbiomehd, we used infectious diarrhea to model a large effect ( schubert et al.","['per the results in microbiomehd, we used infectious diarrhea to model a large effect ( schubert et al.']","per the results in microbiomehd, we used infectious diarrhea to model a large effect ( schubert et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2014 ), colorectal cancer to model a medium effect ( Baxter et al.","2014 ), colorectal cancer to model a medium effect ( baxter et al.","['2014 ), colorectal cancer to model a medium effect ( baxter et al.']","2014 ), colorectal cancer to model a medium effect ( baxter et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2016 ), and obesity to model a small effect ( Goodrich et al.","2016 ), and obesity to model a small effect ( goodrich et al.","['2016 ), and obesity to model a small effect ( goodrich et al.']","2016 ), and obesity to model a small effect ( goodrich et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We collapsed OTUs to genus-level as in Duvallet et al.,we collapsed otus to genus-level as in duvallet et al.,['we collapsed otus to genus-level as in duvallet et al.'],we collapsed otus to genus-level as in duvallet et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2017 and ranked genera according to their signal-to-noise ratio in each entire dataset, where the signal-to-noise was calculated as the difference in mean log abundance in cases and controls divided by the standard deviation of the log abundances across all samples.","2017 and ranked genera according to their signal-to-noise ratio in each entire dataset, where the signal-to-noise was calculated as the difference in mean log abundance in cases and controls divided by the standard deviation of the log abundances across all samples.","['2017 and ranked genera according to their signal-to-noise ratio in each entire dataset, where the signal-to-noise was calculated as the difference in mean log abundance in cases and controls divided by the standard deviation of the log abundances across all samples.']","2017 and ranked genera according to their signal-to-noise ratio in each entire dataset, where the signal-to-noise was calculated as the difference in mean log abundance in cases and controls divided by the standard deviation of the log abundances across all samples."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We considered the 10 genera with the largest absolute signal-to-noise ratios as our “top hits” in the main text.,we considered the 10 genera with the largest absolute signal-to-noise ratios as our “top hits” in the main text.,['we considered the 10 genera with the largest absolute signal-to-noise ratios as our “top hits” in the main text.'],we considered the 10 genera with the largest absolute signal-to-noise ratios as our “top hits” in the main text.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We modeled different FMT clinical trial designs and outcomes by varying the number of total patients in the trial and the percent of FMT responders (i.e.,we modeled different fmt clinical trial designs and outcomes by varying the number of total patients in the trial and the percent of fmt responders (i.e.,['we modeled different fmt clinical trial designs and outcomes by varying the number of total patients in the trial and the percent of fmt responders (i.e.'],we modeled different fmt clinical trial designs and outcomes by varying the number of total patients in the trial and the percent of fmt responders (i.e.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"the number of patients we selected from the original “case” group relative to the original “control” patients, to model FMT responders and non-responders).","the number of patients we selected from the original “case” group relative to the original “control” patients, to model fmt responders and non-responders).","['the number of patients we selected from the original “case” group relative to the original “control” patients, to model fmt responders and non-responders).']","the number of patients we selected from the original “case” group relative to the original “control” patients, to model fmt responders and non-responders)."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v. 0.9.0).,we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v. 0.9.0).,"['we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v.', '1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v.', '0.9.0).']",we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v. 0.9.0).,we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v. 0.9.0).,"['we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v.', '1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v.', '0.9.0).']",we identified significantly differentially abundant genera with the ‘kruskalwallis’ function from scipy.stats.mstats (scipy v. 1.1.0) as genera with q < 0.05 after multiple hypothesis testing correction with the multipletests function (method=’fdr_bh’) from the statsmodels.sandbox.stats.multicomp package (statsmodels v. 0.9.0).
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,We then counted how many of the top genera identified through the signal-to-noise ranking were identified as significantly different as a proxy for the power to detect effects.,we then counted how many of the top genera identified through the signal-to-noise ranking were identified as significantly different as a proxy for the power to detect effects.,['we then counted how many of the top genera identified through the signal-to-noise ranking were identified as significantly different as a proxy for the power to detect effects.'],we then counted how many of the top genera identified through the signal-to-noise ranking were identified as significantly different as a proxy for the power to detect effects.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Methods

Microbiome data processing Raw fastq data files were downloaded from the European Nucleotide Archive using the following accession numbers: Jacob et al 2017, PRJNA388210; Goyal et al.","methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al.","['methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al.']","methods microbiome data processing raw fastq data files were downloaded from the european nucleotide archive using the following accession numbers: jacob et al 2017, prjna388210; goyal et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2018, PRJNA380944; and Kump et al.","2018, prjna380944; and kump et al.","['2018, prjna380944; and kump et al.']","2018, prjna380944; and kump et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"All data was processed using QIIME 2 (v. 2018.6.0, Bolyen et al.","all data was processed using qiime 2 (v. 2018.6.0, bolyen et al.","['all data was processed using qiime 2 (v.', '2018.6.0, bolyen et al.']","all data was processed using qiime 2 (v. 2018.6.0, bolyen et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Briefly, data was imported into QIIME 2 as paired-end ( Kump et al.","briefly, data was imported into qiime 2 as paired-end ( kump et al.","['briefly, data was imported into qiime 2 as paired-end ( kump et al.']","briefly, data was imported into qiime 2 as paired-end ( kump et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,2018 ; Jacob et al.,2018 ; jacob et al.,['2018 ; jacob et al.'],2018 ; jacob et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,2017 ) or single-end ( Goyal et al.,2017 ) or single-end ( goyal et al.,['2017 ) or single-end ( goyal et al.'],2017 ) or single-end ( goyal et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16S’ ( Amir et al.","2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al.","['2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al.']","2018 ) data, filtered based on sequence quality with ‘quality-filter q-score’, and denoised with deblur using ‘deblur denoise-16s’ ( amir et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the GreenGenes-trained Naive Bayes classifier provided by QIIME 2 (gg-13-8-99-nb-classifier.qza) ( Bokulich et al.,representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.,['representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.'],representative sequences were assigned taxonomy using ‘feature-classifier classify-sklearn’ with the greengenes-trained naive bayes classifier provided by qiime 2 (gg-13-8-99-nb-classifier.qza) ( bokulich et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,All data was exported to tab-delimited format and analyzed in Python 2.7.6.,all data was exported to tab-delimited format and analyzed in python 2.7.6.,['all data was exported to tab-delimited format and analyzed in python 2.7.6.'],all data was exported to tab-delimited format and analyzed in python 2.7.6.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Quantifying abundance of butyrate producers We identified butyrate producers at the genus-level based on the analysis performed in Vital et al.,quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.,['quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.'],quantifying abundance of butyrate producers we identified butyrate producers at the genus-level based on the analysis performed in vital et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,These taxa were detected in >70% of individuals in Vital et al.,these taxa were detected in >70% of individuals in vital et al.,['these taxa were detected in >70% of individuals in vital et al.'],these taxa were detected in >70% of individuals in vital et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.","2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.","['2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data.']","2017 , are known butyrate producers (with a majority of the analyzed representative genomes containing known butyrate production pathways), and accounted for the majority of the total butyrate pathway abundances in human metagenomics data."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We removed E. ventriosum, E. hallii , and E. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","we removed e. ventriosum, e. hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","['we removed e.', 'ventriosum, e.', 'hallii , and e.', 'rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.']","we removed e. ventriosum, e."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We removed E. ventriosum, E. hallii , and E. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","we removed e. ventriosum, e. hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.","['we removed e.', 'ventriosum, e.', 'hallii , and e.', 'rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production.']","hallii , and e. rectale from our analyses as these species-level taxa do not comprise one genus with conserved butyrate production."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"Stool metabolomics Metabolomics data was generated as described in Poyet, Groussin, Gibbons et al.","stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al.","['stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al.']","stool metabolomics metabolomics data was generated as described in poyet, groussin, gibbons et al."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,(in preparation) and downloaded after personal communication with the authors.,(in preparation) and downloaded after personal communication with the authors.,['(in preparation) and downloaded after personal communication with the authors.'],(in preparation) and downloaded after personal communication with the authors.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"For donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.","for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.","['for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points.']","for donors with multiple samples, we considered the mean metabolite abundances across all sampled time points."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,"We identified three short chain fatty acids (SCFAs) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.","we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.","['we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids.']","we identified three short chain fatty acids (scfas) in the data (propionate, butyrate, and isovalerate) and the major primary (cholate and chenodeoxycholate) and secondary (deoxycholate and lithocholate) bile acids."
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Lithocholate abundances were available for both C-18 negative and HILIC negative modes; we considered only the C-18 negative data to match the other bile acids.,lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.,['lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.'],lithocholate abundances were available for both c-18 negative and hilic negative modes; we considered only the c-18 negative data to match the other bile acids.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Bile acid conversion rates were calculated as in Kakiyama et al.,bile acid conversion rates were calculated as in kakiyama et al.,['bile acid conversion rates were calculated as in kakiyama et al.'],bile acid conversion rates were calculated as in kakiyama et al.
Framework for rational donor selection in fecal microbiota transplant clinical trials,medrxiv,Donors were ranked based on their average SCFA abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).,donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).,['donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).'],donors were ranked based on their average scfa abundances and based on the total bile acid conversion ratio ((lithocholate + deoxycholate) / (chenodeoxycholate + cholate)).
